id ra dec hi_size line_flux_integral central_freq pa i w20
0 0.00044444444444444447 32.708333333333336 245 0.86 10614 180 45 250
1 0.005888888888888889 31.010555555555555 21 0.31 566 180 45 36
2 0.005555555555555556 34.61138888888889 104 0.99 12687 180 45 149
3 0.01113888888888889 31.93611111111111 79 0.66 12631 180 45 91
4 0.015666666666666666 33.35 138 0.99 12951 180 45 160
5 0.018472222222222223 32.382222222222225 32 1.42 542 180 45 46
6 0.020777777777777777 31.371666666666666 292 1.54 12532 180 45 301
7 0.02211111111111111 34.52611111111111 433 7.09 5026 180 45 451
8 0.024944444444444443 31.238333333333333 134 1.03 12581 180 45 180
9 0.025416666666666667 31.441388888888888 231 1.4 4767 180 45 240
10 0.026416666666666665 33.55638888888888 290 1.89 7469 180 45 299
11 0.028527777777777777 32.10777777777778 226 1.61 12560 180 45 254
12 0.044194444444444446 33.60527777777778 197 1.57 4852 180 45 206
13 0.04730555555555555 31.48638888888889 109 1.2 4947 180 45 117
14 0.04722222222222222 32.76611111111111 242 1.43 10434 180 45 256
15 0.05377777777777778 31.04527777777778 377 0.92 4748 180 45 396
16 0.05525 32.51027777777778 152 1.05 6409 180 45 169
17 0.057555555555555554 32.62111111111111 224 0.93 13019 180 45 256
18 0.06372222222222222 31.347777777777775 102 0.7 5011 180 45 129
19 0.06419444444444444 33.65694444444444 111 2.58 6356 180 45 127
20 0.07077777777777777 35.462500000000006 74 0.53 12210 180 45 81
21 0.07355555555555555 31.470555555555553 245 10.19 4955 180 45 263
22 0.07480555555555556 33.55694444444444 235 2.58 4766 180 45 252
23 0.0766388888888889 31.715 109 1.47 4841 180 45 133
24 0.07980555555555555 33.31083333333333 196 1.23 10370 180 45 212
25 0.07994444444444444 34.771388888888886 119 2.19 12176 180 45 159
26 0.08524999999999999 31.086666666666666 277 1.21 12168 180 45 297
27 0.08588888888888889 33.211666666666666 73 0.98 4865 180 45 98
28 0.09108333333333332 32.5225 124 1.48 10417 180 45 177
29 0.09222222222222222 31.863611111111112 65 0.5 5024 180 45 75
30 0.11005555555555556 33.10277777777778 173 2.21 4885 180 45 205
31 0.11194444444444446 33.15472222222222 125 1.67 4845 180 45 145
32 0.11902777777777777 35.81861111111112 276 2.7 11930 180 45 316
33 0.12183333333333334 31.301666666666666 318 1.65 12987 180 45 340
34 0.1216388888888889 32.608333333333334 470 6.69 5076 180 45 496
35 0.12397222222222222 34.40694444444444 77 0.8 10499 180 45 93
36 0.12416666666666668 33.80694444444444 120 0.77 5055 180 45 129
37 0.12461111111111112 32.069722222222225 95 1.95 4862 180 45 132
38 0.12933333333333333 31.792222222222225 122 0.71 4606 180 45 132
39 0.13102777777777777 35.96638888888889 41 3.38 441 180 45 57
40 0.1325 33.059999999999995 339 1.33 4893 180 45 388
41 0.13341666666666666 35.348888888888894 18 0.3 3143 180 45 39
